Cities,Country,VIIRS 2018,VIIRS 2019,VIIRS 2020,VIIRS 2021
Athens,Greece,17.74225,18.07314286,18.56283929,18.7753125
Catania,Spain,11.78088393,11.84628571,11.66264286,11.84851786
Houston,USA,44.640375,44.968,45.45657143,45.552
Lisbon,Portugal,20.30402743,20.03589286,19.38655357,20.22769841
Melbourne,Australia,11.48342857,11.924,12.14128571,11.96142857
Phoenix,USA,38.54371429,39.22771429,37.94228571,40.34714286
San Jose,USA,12.085625,12.51025,11.4689375,12.587
Seville,Spain,11.82551786,11.9155,11.91307143,12.36608929
Singapore,Singapore,28.62057143,31.579,27.06671429,28.333
Tel Aviv,Israel,32.94571429,33.322,33.22985714,36.48071429
Tokyo,Japan,26.85507143,27.47185714,24.05858036,26.82321429
